state,MONTHNAME(CustomerAccount.regDate),YEAR(CustomerAccount.regDate),permission,CustomerIDCount
Idaho,April,2013,1,16
Illinois,April,2013,0,1
Illinois,April,2013,1,3
Indiana,April,2013,0,12
Indiana,April,2013,1,11
Kansas,April,2013,1,1
Kentucky,April,2013,0,17
Kentucky,April,2013,1,14
Louisiana,April,2013,1,1
Maryland,April,2013,0,8
Maryland,April,2013,1,5
Massachusetts,April,2013,1,2
Michigan,April,2013,1,2
Minnesota,April,2013,0,18
Minnesota,April,2013,1,18
Missouri,April,2013,1,1
New Jersey,April,2013,1,1
New Mexico,April,2013,1,1
New York,April,2013,0,46
New York,April,2013,1,50
North Carolina,April,2013,0,14
North Carolina,April,2013,1,8
North Dakota,April,2013,0,20
North Dakota,April,2013,1,14
Ohio,April,2013,0,9
Ohio,April,2013,1,18
Oklahoma,April,2013,1,1
Oregon,April,2013,0,14
Oregon,April,2013,1,9
Pennsylvania,April,2013,0,21
Pennsylvania,April,2013,1,21
Tennessee,April,2013,1,1
Texas,April,2013,0,13
Texas,April,2013,1,26
Utah,April,2013,1,1
Virginia,April,2013,0,17
Virginia,April,2013,1,19
Washington,April,2013,1,1
West Virginia,April,2013,1,1
,April,2014,0,54
,April,2014,1,150
Alabama,April,2014,1,3
Arizona,April,2014,1,1
Arkansas,April,2014,1,1
California,April,2014,0,68
California,April,2014,1,188
Colorado,April,2014,0,7
Colorado,April,2014,1,25
Connecticut,April,2014,0,8
Connecticut,April,2014,1,21
Florida,April,2014,0,45
Florida,April,2014,1,73
Georgia,April,2014,0,2
Georgia,April,2014,1,1
Idaho,April,2014,0,14
Idaho,April,2014,1,38
Illinois,April,2014,0,2
Illinois,April,2014,1,2
Indiana,April,2014,0,16
Indiana,April,2014,1,38
Iowa,April,2014,1,1
Kentucky,April,2014,0,22
Kentucky,April,2014,1,34
Maryland,April,2014,0,14
Maryland,April,2014,1,18
Michigan,April,2014,1,3
Minnesota,April,2014,0,25
Minnesota,April,2014,1,63
Mississippi,April,2014,1,1
Missouri,April,2014,1,2
Nebraska,April,2014,1,2
New Jersey,April,2014,1,8
New York,April,2014,0,57
New York,April,2014,1,105
North Carolina,April,2014,0,16
North Carolina,April,2014,1,37
North Dakota,April,2014,0,23
North Dakota,April,2014,1,38
Ohio,April,2014,0,20
Ohio,April,2014,1,44
Oklahoma,April,2014,0,1
Oklahoma,April,2014,1,3
Oregon,April,2014,0,11
Oregon,April,2014,1,33
Pennsylvania,April,2014,0,20
Pennsylvania,April,2014,1,45
Puerto Rico,April,2014,1,1
South Dakota,April,2014,1,1
Tennessee,April,2014,1,1
Texas,April,2014,0,22
Texas,April,2014,1,47
Utah,April,2014,0,1
Utah,April,2014,1,1
Virginia,April,2014,0,20
Virginia,April,2014,1,40
Washington,April,2014,1,5
Wisconsin,April,2014,1,2
Wyoming,April,2014,1,1
,April,2015,0,63
,April,2015,1,145
Alabama,April,2015,1,1
Arizona,April,2015,0,1
Arkansas,April,2015,0,1
California,April,2015,0,103
California,April,2015,1,108
Colorado,April,2015,0,14
Colorado,April,2015,1,12
Connecticut,April,2015,0,9
Connecticut,April,2015,1,15
Florida,April,2015,0,36
Florida,April,2015,1,41
Georgia,April,2015,0,1
Idaho,April,2015,0,25
Idaho,April,2015,1,28
Illinois,April,2015,0,3
Illinois,April,2015,1,2
Indiana,April,2015,0,24
Indiana,April,2015,1,20
Iowa,April,2015,0,1
Iowa,April,2015,1,1
Kansas,April,2015,1,1
Kentucky,April,2015,0,29
Kentucky,April,2015,1,15
Louisiana,April,2015,0,2
Louisiana,April,2015,1,1
Maryland,April,2015,0,15
Maryland,April,2015,1,8
Massachusetts,April,2015,0,2
Michigan,April,2015,0,3
Minnesota,April,2015,0,42
Minnesota,April,2015,1,25
Mississippi,April,2015,1,1
Nebraska,April,2015,0,1
New Hampshire,April,2015,0,1
New Hampshire,April,2015,1,1
New Jersey,April,2015,0,1
New Jersey,April,2015,1,1
New York,April,2015,0,69
New York,April,2015,1,71
North Carolina,April,2015,0,24
North Carolina,April,2015,1,24
North Dakota,April,2015,0,23
North Dakota,April,2015,1,25
Ohio,April,2015,0,23
Ohio,April,2015,1,24
Oklahoma,April,2015,0,1
Oklahoma,April,2015,1,1
Oregon,April,2015,0,18
Oregon,April,2015,1,20
Pennsylvania,April,2015,0,25
Pennsylvania,April,2015,1,31
South Carolina,April,2015,0,4
South Dakota,April,2015,1,1
Tennessee,April,2015,0,1
Texas,April,2015,0,33
Texas,April,2015,1,24
Utah,April,2015,0,1
Virginia,April,2015,0,26
Virginia,April,2015,1,24
Washington,April,2015,1,1
Wyoming,April,2015,0,2
,August,2004,0,2
California,August,2004,0,1
California,August,2004,1,1
Florida,August,2004,1,1
Georgia,August,2004,0,1
Hawaii,August,2004,0,1
Idaho,August,2004,0,1
Kentucky,August,2004,1,2
Minnesota,August,2004,1,3
New York,August,2004,1,3
North Carolina,August,2004,0,1
North Carolina,August,2004,1,1
North Dakota,August,2004,1,1
Ohio,August,2004,1,2
Pennsylvania,August,2004,1,2
South Carolina,August,2004,1,1
Virginia,August,2004,1,1
,August,2005,1,1
California,August,2005,1,4
Florida,August,2005,1,1
Georgia,August,2005,1,1
Idaho,August,2005,1,2
Indiana,August,2005,1,1
Kentucky,August,2005,1,2
Maryland,August,2005,0,1
Minnesota,August,2005,0,2
New York,August,2005,0,1
New York,August,2005,1,6
North Carolina,August,2005,1,2
North Dakota,August,2005,1,3
Oklahoma,August,2005,1,1
Pennsylvania,August,2005,0,2
Pennsylvania,August,2005,1,1
Texas,August,2005,1,1
,August,2006,0,3
,August,2006,1,2
California,August,2006,0,1
California,August,2006,1,8
Connecticut,August,2006,1,2
Florida,August,2006,1,2
Georgia,August,2006,1,1
Indiana,August,2006,1,1
Kentucky,August,2006,0,1
Kentucky,August,2006,1,3
Minnesota,August,2006,1,1
New York,August,2006,0,1
New York,August,2006,1,2
North Carolina,August,2006,1,3
North Dakota,August,2006,1,3
Ohio,August,2006,1,1
Pennsylvania,August,2006,0,1
Pennsylvania,August,2006,1,2
Texas,August,2006,1,4
Virginia,August,2006,1,4
Wisconsin,August,2006,1,1
Arizona,August,2007,1,1
California,August,2007,1,8
Connecticut,August,2007,1,1
Florida,August,2007,1,3
Georgia,August,2007,1,1
Idaho,August,2007,1,3
Indiana,August,2007,1,3
Minnesota,August,2007,1,2
New York,August,2007,0,1
New York,August,2007,1,2
North Dakota,August,2007,1,2
Oregon,August,2007,1,2
Pennsylvania,August,2007,0,1
Pennsylvania,August,2007,1,2
Texas,August,2007,1,2
Virginia,August,2007,0,1
Washington,August,2007,0,1
,August,2008,0,2
Alabama,August,2008,1,1
California,August,2008,0,1
California,August,2008,1,6
Colorado,August,2008,1,1
Connecticut,August,2008,1,1
Florida,August,2008,0,2
Florida,August,2008,1,1
Idaho,August,2008,1,2
Indiana,August,2008,1,1
Kentucky,August,2008,0,1
Kentucky,August,2008,1,4
Michigan,August,2008,0,1
Minnesota,August,2008,1,4
New Jersey,August,2008,1,3
New York,August,2008,0,1
New York,August,2008,1,5
North Dakota,August,2008,0,1
North Dakota,August,2008,1,2
Ohio,August,2008,1,2
Oregon,August,2008,0,1
Oregon,August,2008,1,2
Pennsylvania,August,2008,1,3
Texas,August,2008,0,1
Texas,August,2008,1,2
Virginia,August,2008,0,1
Arizona,August,2009,0,1
California,August,2009,0,1
California,August,2009,1,5
Connecticut,August,2009,0,1
Connecticut,August,2009,1,2
Florida,August,2009,0,2
Florida,August,2009,1,2
Georgia,August,2009,1,1
Idaho,August,2009,0,2
Idaho,August,2009,1,2
Indiana,August,2009,1,3
Iowa,August,2009,1,1
Maryland,August,2009,0,1
Massachusetts,August,2009,1,1
Minnesota,August,2009,1,1
Montana,August,2009,1,1
New York,August,2009,0,2
New York,August,2009,1,4
North Dakota,August,2009,1,1
Oregon,August,2009,0,1
Pennsylvania,August,2009,0,1
Virginia,August,2009,1,2
,August,2010,0,6
,August,2010,1,3
California,August,2010,0,5
California,August,2010,1,5
Colorado,August,2010,0,1
Florida,August,2010,1,3
Georgia,August,2010,1,2
Idaho,August,2010,0,1
Idaho,August,2010,1,2
Illinois,August,2010,1,2
Kansas,August,2010,1,1
Kentucky,August,2010,1,5
Maryland,August,2010,1,3
Michigan,August,2010,1,1
Minnesota,August,2010,0,1
Minnesota,August,2010,1,1
Nevada,August,2010,1,1
New Jersey,August,2010,1,1
New York,August,2010,1,11
North Carolina,August,2010,0,1
North Carolina,August,2010,1,3
North Dakota,August,2010,0,2
North Dakota,August,2010,1,4
Ohio,August,2010,1,2
Oklahoma,August,2010,0,1
Oregon,August,2010,0,2
Oregon,August,2010,1,3
Pennsylvania,August,2010,0,1
Pennsylvania,August,2010,1,2
Tennessee,August,2010,1,1
Texas,August,2010,1,4
Utah,August,2010,1,1
Virginia,August,2010,1,4
Washington,August,2010,1,1
,August,2011,0,1
,August,2011,1,1
California,August,2011,0,12
California,August,2011,1,15
Colorado,August,2011,0,3
Colorado,August,2011,1,1
Connecticut,August,2011,1,1
Florida,August,2011,0,4
Florida,August,2011,1,1
Idaho,August,2011,0,3
Idaho,August,2011,1,3
Illinois,August,2011,1,2
Indiana,August,2011,1,3
Iowa,August,2011,1,1
Kentucky,August,2011,0,3
Kentucky,August,2011,1,5
Maryland,August,2011,0,1
Minnesota,August,2011,0,3
Minnesota,August,2011,1,3
New York,August,2011,0,3
New York,August,2011,1,11
North Carolina,August,2011,0,3
North Carolina,August,2011,1,4
North Dakota,August,2011,0,3
North Dakota,August,2011,1,3
Ohio,August,2011,0,3
Oregon,August,2011,0,2
Pennsylvania,August,2011,0,3
Pennsylvania,August,2011,1,4
Tennessee,August,2011,1,1
Texas,August,2011,0,1
Texas,August,2011,1,3
Virginia,August,2011,0,1
Virginia,August,2011,1,4
,August,2012,0,8
,August,2012,1,8
Arizona,August,2012,1,2
California,August,2012,0,34
California,August,2012,1,39
Colorado,August,2012,0,2
Colorado,August,2012,1,5
Connecticut,August,2012,0,4
Connecticut,August,2012,1,6
Delaware,August,2012,1,1
Florida,August,2012,0,17
Florida,August,2012,1,19
Georgia,August,2012,1,1
Idaho,August,2012,0,7
Idaho,August,2012,1,11
Illinois,August,2012,1,3
Indiana,August,2012,0,7
Indiana,August,2012,1,6
Iowa,August,2012,1,1
Kentucky,August,2012,0,10
Kentucky,August,2012,1,13
Maryland,August,2012,0,4
Maryland,August,2012,1,1
Massachusetts,August,2012,1,1
Minnesota,August,2012,0,8
Minnesota,August,2012,1,10
Missouri,August,2012,1,1
Nevada,August,2012,1,1
New Jersey,August,2012,1,2
New York,August,2012,0,26
New York,August,2012,1,34
North Carolina,August,2012,0,9
North Carolina,August,2012,1,4
North Dakota,August,2012,0,11
North Dakota,August,2012,1,3
Ohio,August,2012,0,8
Ohio,August,2012,1,10
Oregon,August,2012,0,9
Oregon,August,2012,1,7
Pennsylvania,August,2012,0,9
Pennsylvania,August,2012,1,8
Texas,August,2012,0,9
Texas,August,2012,1,14
Virginia,August,2012,0,11
Virginia,August,2012,1,12
Washington,August,2012,1,2
Wisconsin,August,2012,1,1
,August,2013,0,39
,August,2013,1,36
Alabama,August,2013,1,1
California,August,2013,0,126
California,August,2013,1,79
Colorado,August,2013,0,19
Colorado,August,2013,1,9
Connecticut,August,2013,0,22
Connecticut,August,2013,1,13
Florida,August,2013,0,42
Florida,August,2013,1,37
Idaho,August,2013,0,26
Idaho,August,2013,1,17
Illinois,August,2013,0,1
Illinois,August,2013,1,2
Indiana,August,2013,0,25
Indiana,August,2013,1,15
Kansas,August,2013,0,1
Kentucky,August,2013,0,21
Kentucky,August,2013,1,21
Louisiana,August,2013,1,1
Maryland,August,2013,0,15
Maryland,August,2013,1,16
Massachusetts,August,2013,0,1
Minnesota,August,2013,0,33
Minnesota,August,2013,1,36
Nevada,August,2013,0,1
New Hampshire,August,2013,0,1
New Jersey,August,2013,1,5
New York,August,2013,0,75
New York,August,2013,1,44
North Carolina,August,2013,0,31
North Carolina,August,2013,1,18
North Dakota,August,2013,0,26
North Dakota,August,2013,1,20
Ohio,August,2013,0,20
Ohio,August,2013,1,28
Oklahoma,August,2013,1,1
Oregon,August,2013,0,35
Oregon,August,2013,1,14
Pennsylvania,August,2013,0,38
Pennsylvania,August,2013,1,24
Puerto Rico,August,2013,0,1
Tennessee,August,2013,1,1
Texas,August,2013,0,24
Texas,August,2013,1,32
Utah,August,2013,1,1
Virginia,August,2013,0,30
Virginia,August,2013,1,26
Washington,August,2013,0,1
Wisconsin,August,2013,1,2
,August,2014,0,31
,August,2014,1,26
Alabama,August,2014,1,2
Alaska,August,2014,1,1
California,August,2014,0,102
California,August,2014,1,114
Colorado,August,2014,0,11
Colorado,August,2014,1,18
Connecticut,August,2014,0,15
Connecticut,August,2014,1,16
District of Columbia,August,2014,1,1
Florida,August,2014,0,40
Florida,August,2014,1,53
Georgia,August,2014,1,4
Hawaii,August,2014,1,2
Idaho,August,2014,0,30
Idaho,August,2014,1,23
Illinois,August,2014,1,8
Indiana,August,2014,0,22
Indiana,August,2014,1,28
Iowa,August,2014,1,3
Kansas,August,2014,1,3
Kentucky,August,2014,0,24
Kentucky,August,2014,1,27
Louisiana,August,2014,1,4
Maryland,August,2014,0,13
Maryland,August,2014,1,16
Massachusetts,August,2014,1,3
Michigan,August,2014,1,5
Minnesota,August,2014,0,46
Minnesota,August,2014,1,26
Missouri,August,2014,0,1
Missouri,August,2014,1,3
Montana,August,2014,1,1
Nebraska,August,2014,1,1
Nevada,August,2014,0,1
Nevada,August,2014,1,2
New Jersey,August,2014,1,6
New Mexico,August,2014,1,1
New York,August,2014,0,84
New York,August,2014,1,94
North Carolina,August,2014,0,17
North Carolina,August,2014,1,17
North Dakota,August,2014,0,27
North Dakota,August,2014,1,18
Ohio,August,2014,0,29
Ohio,August,2014,1,19
Oklahoma,August,2014,1,3
Oregon,August,2014,0,15
Oregon,August,2014,1,22
Pennsylvania,August,2014,0,19
Pennsylvania,August,2014,1,28
Puerto Rico,August,2014,1,1
South Carolina,August,2014,1,2
Tennessee,August,2014,1,4
Texas,August,2014,0,25
Texas,August,2014,1,39
Utah,August,2014,1,2
Vermont,August,2014,1,1
Virginia,August,2014,0,33
Virginia,August,2014,1,40
Washington,August,2014,1,3
Wisconsin,August,2014,1,3
Georgia,December,2001,0,1
Illinois,December,2001,1,1
Maryland,December,2001,1,1
New York,December,2002,1,1
North Carolina,December,2002,1,1
North Dakota,December,2002,1,1
Minnesota,December,2003,1,1
Nebraska,December,2003,1,1
New York,December,2003,1,1
Oregon,December,2003,1,1
California,December,2004,0,1
California,December,2004,1,2
Connecticut,December,2004,1,1
Indiana,December,2004,1,1
Minnesota,December,2004,1,2
Oregon,December,2004,1,1
Pennsylvania,December,2004,1,3
Texas,December,2004,1,1
Washington,December,2004,1,1
,December,2005,1,1
Alabama,December,2005,1,1
California,December,2005,0,1
California,December,2005,1,7
Colorado,December,2005,1,1
Connecticut,December,2005,1,3
Florida,December,2005,1,1
Georgia,December,2005,0,1
Idaho,December,2005,1,1
Iowa,December,2005,1,1
Kentucky,December,2005,1,4
Louisiana,December,2005,1,1
Massachusetts,December,2005,1,1
Michigan,December,2005,1,1
Minnesota,December,2005,1,1
Mississippi,December,2005,1,1
New York,December,2005,1,3
North Dakota,December,2005,1,1
Ohio,December,2005,1,2
Oregon,December,2005,0,1
Pennsylvania,December,2005,1,5
Texas,December,2005,1,4
Washington,December,2005,1,1
,December,2006,0,6
,December,2006,1,1
California,December,2006,1,9
Colorado,December,2006,0,1
Connecticut,December,2006,1,1
Florida,December,2006,1,7
Indiana,December,2006,1,1
Kentucky,December,2006,1,3
Louisiana,December,2006,1,1
Maryland,December,2006,0,1
Maryland,December,2006,1,1
Minnesota,December,2006,1,5
New Jersey,December,2006,1,1
New York,December,2006,1,6
North Carolina,December,2006,1,1
North Dakota,December,2006,0,1
North Dakota,December,2006,1,3
Ohio,December,2006,1,2
Oklahoma,December,2006,1,1
Oregon,December,2006,1,1
Pennsylvania,December,2006,1,1
Texas,December,2006,0,1
Texas,December,2006,1,5
Virginia,December,2006,1,2
Wisconsin,December,2006,1,1
,December,2007,0,3
,December,2007,1,1
California,December,2007,0,1
California,December,2007,1,5
Connecticut,December,2007,0,1
Connecticut,December,2007,1,3
Florida,December,2007,1,4
Idaho,December,2007,1,2
Kentucky,December,2007,1,1
New Jersey,December,2007,1,1
New York,December,2007,0,2
New York,December,2007,1,5
North Carolina,December,2007,1,2
North Dakota,December,2007,0,1
North Dakota,December,2007,1,1
Ohio,December,2007,0,1
Ohio,December,2007,1,4
Oklahoma,December,2007,1,1
Oregon,December,2007,0,1
Pennsylvania,December,2007,0,2
Pennsylvania,December,2007,1,5
Tennessee,December,2007,1,1
Virginia,December,2007,1,1
,December,2008,0,4
,December,2008,1,2
Alabama,December,2008,1,1
California,December,2008,0,4
California,December,2008,1,6
Colorado,December,2008,0,1
Colorado,December,2008,1,1
Connecticut,December,2008,0,2
Connecticut,December,2008,1,2
Florida,December,2008,0,5
Florida,December,2008,1,7
Georgia,December,2008,1,3
Idaho,December,2008,0,2
Idaho,December,2008,1,6
Indiana,December,2008,0,2
Indiana,December,2008,1,1
Kentucky,December,2008,0,2
Kentucky,December,2008,1,8
Maryland,December,2008,0,1
Maryland,December,2008,1,3
Minnesota,December,2008,1,5
Nevada,December,2008,1,1
New Jersey,December,2008,1,1
New York,December,2008,0,7
New York,December,2008,1,11
North Carolina,December,2008,0,2
North Carolina,December,2008,1,3
North Dakota,December,2008,1,4
Ohio,December,2008,0,1
Ohio,December,2008,1,1
Oregon,December,2008,0,2
Oregon,December,2008,1,6
Pennsylvania,December,2008,0,2
Pennsylvania,December,2008,1,3
Texas,December,2008,0,2
Texas,December,2008,1,4
Vermont,December,2008,1,1
Virginia,December,2008,1,3
,December,2009,0,10
,December,2009,1,3
Alabama,December,2009,1,1
Arkansas,December,2009,1,1
California,December,2009,0,9
California,December,2009,1,23
Colorado,December,2009,1,1
Connecticut,December,2009,1,4
Florida,December,2009,0,2
Florida,December,2009,1,8
Georgia,December,2009,1,1
Idaho,December,2009,0,1
Idaho,December,2009,1,4
Illinois,December,2009,1,1
Indiana,December,2009,0,2
Indiana,December,2009,1,3
Kentucky,December,2009,0,1
Kentucky,December,2009,1,6
Maryland,December,2009,1,2
Michigan,December,2009,1,1
Minnesota,December,2009,0,1
Minnesota,December,2009,1,7
Mississippi,December,2009,1,1
New Jersey,December,2009,1,1
New Mexico,December,2009,1,1
New York,December,2009,0,5
New York,December,2009,1,11
North Carolina,December,2009,0,1
North Carolina,December,2009,1,6
North Dakota,December,2009,0,1
North Dakota,December,2009,1,6
Ohio,December,2009,0,3
Ohio,December,2009,1,7
Oklahoma,December,2009,1,1
Oregon,December,2009,0,1
Oregon,December,2009,1,3
Pennsylvania,December,2009,0,2
Pennsylvania,December,2009,1,8
Tennessee,December,2009,1,1
Texas,December,2009,1,7
Virginia,December,2009,0,1
Virginia,December,2009,1,6
Washington,December,2009,1,2
Wisconsin,December,2009,1,1
,December,2010,0,27
,December,2010,1,4
Alabama,December,2010,1,1
California,December,2010,0,20
California,December,2010,1,27
Colorado,December,2010,0,3
Colorado,December,2010,1,4
Connecticut,December,2010,0,3
Connecticut,December,2010,1,4
Florida,December,2010,0,8
Florida,December,2010,1,14
Idaho,December,2010,0,4
Idaho,December,2010,1,7
Illinois,December,2010,1,2
Indiana,December,2010,0,2
Indiana,December,2010,1,7
Kentucky,December,2010,0,6
Kentucky,December,2010,1,8
Louisiana,December,2010,1,1
Maryland,December,2010,0,2
Maryland,December,2010,1,2
Michigan,December,2010,1,3
Minnesota,December,2010,0,8
Minnesota,December,2010,1,7
Mississippi,December,2010,1,1
Missouri,December,2010,1,1
New York,December,2010,0,8
New York,December,2010,1,15
North Carolina,December,2010,0,4
North Carolina,December,2010,1,3
North Dakota,December,2010,0,5
North Dakota,December,2010,1,5
Ohio,December,2010,0,3
Ohio,December,2010,1,8
Oregon,December,2010,0,3
Oregon,December,2010,1,5
Pennsylvania,December,2010,0,2
Pennsylvania,December,2010,1,10
Texas,December,2010,0,6
Texas,December,2010,1,12
Utah,December,2010,1,1
Virginia,December,2010,0,5
Virginia,December,2010,1,13
,December,2011,0,7
,December,2011,1,2
Arizona,December,2011,1,1
Arkansas,December,2011,1,1
Armed Forces,December,2011,1,1
California,December,2011,0,7
California,December,2011,1,23
Colorado,December,2011,0,3
Colorado,December,2011,1,2
Connecticut,December,2011,0,4
Connecticut,December,2011,1,4
Florida,December,2011,0,9
Florida,December,2011,1,4
Idaho,December,2011,0,2
Idaho,December,2011,1,7
Illinois,December,2011,1,1
Indiana,December,2011,0,3
Indiana,December,2011,1,1
Iowa,December,2011,1,2
Kentucky,December,2011,0,1
Kentucky,December,2011,1,4
Maryland,December,2011,0,3
Massachusetts,December,2011,1,1
Michigan,December,2011,1,1
Minnesota,December,2011,0,3
Minnesota,December,2011,1,6
New York,December,2011,0,3
New York,December,2011,1,16
North Carolina,December,2011,0,3
North Carolina,December,2011,1,4
North Dakota,December,2011,0,1
North Dakota,December,2011,1,3
Ohio,December,2011,0,1
Ohio,December,2011,1,7
Oregon,December,2011,0,2
Pennsylvania,December,2011,1,4
Texas,December,2011,0,3
Texas,December,2011,1,5
Virginia,December,2011,0,2
Virginia,December,2011,1,4
,December,2012,0,5
,December,2012,1,12
Alabama,December,2012,1,1
Alaska,December,2012,1,1
Arizona,December,2012,1,1
California,December,2012,0,97
California,December,2012,1,108
Colorado,December,2012,0,14
Colorado,December,2012,1,19
Connecticut,December,2012,0,17
Connecticut,December,2012,1,16
Florida,December,2012,0,47
Florida,December,2012,1,49
Georgia,December,2012,1,5
Guam,December,2012,1,1
Hawaii,December,2012,1,1
Idaho,December,2012,0,34
Idaho,December,2012,1,38
Illinois,December,2012,1,6
Indiana,December,2012,0,25
Indiana,December,2012,1,28
Iowa,December,2012,1,1
